"OFFENCE_SUBCAT","GENDER","COUNT(P.ID)"
"animalTheft","female","182"
"animalTheft","male","1306"
"animalTheft","unknown","576"
"arson","male","1"
"arson","unknown","15"
"assault","male","1"
"assault","unknown","9"
"bigamy","female","18"
"bigamy","male","120"
"bigamy","unknown","37"
"burglary","female","111"
"burglary","male","872"
"burglary","unknown","1488"
"coiningOffences","female","50"
"coiningOffences","male","258"
"coiningOffences","unknown","324"
"conspiracy","male","6"
"conspiracy","unknown","3"
"embezzlement","female","83"
"embezzlement","male","588"
"embezzlement","unknown","220"
"extortion","male","16"
"extortion","unknown","30"
"forgery","female","6"
"forgery","male","88"
"forgery","unknown","434"
"fraud","female","20"
"fraud","male","155"
"fraud","unknown","228"
"gameLawOffence","male","1"
"gameLawOffence","unknown","4"
"grandLarceny","female","1232"
"grandLarceny","male","6529"
"grandLarceny","unknown","8219"
"highwayRobbery","female","31"
"highwayRobbery","male","157"
"highwayRobbery","unknown","218"
"housebreaking","female","89"
"housebreaking","male","472"
"housebreaking","unknown","727"
"illegalAbortion","unknown","2"
"kidnapping","female","18"
"kidnapping","male","20"
"kidnapping","unknown","10"
"mail","unknown","114"
"manslaughter","female","2"
"manslaughter","male","14"
"manslaughter","unknown","13"
"murder","female","5"
"murder","male","21"
"murder","unknown","40"
"other","female","8"
"other","male","32"
"other","unknown","1231"
"perjury","female","2"
"perjury","male","16"
"perjury","unknown","55"
"pervertingJustice","female","5"
"pervertingJustice","male","4"
"pervertingJustice","unknown","22"
"pettyLarceny","female","1"
"pettyLarceny","male","33"
"pettyLarceny","unknown","359"
"piracy","unknown","1"
"pocketpicking","female","953"
"pocketpicking","male","3137"
"pocketpicking","unknown","2167"
"rape","unknown","54"
"receiving","female","112"
"receiving","male","336"
"receiving","unknown","573"
"returnFromTransportation","unknown","38"
"robbery","female","25"
"robbery","male","89"
"robbery","unknown","316"
"seditiousLibel","unknown","1"
"shoplifting","female","152"
"shoplifting","male","155"
"shoplifting","unknown","759"
"simpleLarceny","female","702"
"simpleLarceny","male","2867"
"simpleLarceny","unknown","3536"
"sodomy","unknown","1"
"stealingFromMaster","female","95"
"stealingFromMaster","male","224"
"stealingFromMaster","unknown","618"
"taxOffences","male","1"
"taxOffences","unknown","7"
"theftFromPlace","female","285"
"theftFromPlace","male","1212"
"theftFromPlace","unknown","2691"
"threateningBehaviour","male","1"
"threateningBehaviour","unknown","1"
"treason","unknown","5"
"vagabond","male","1"
"wounding","male","1"
"wounding","unknown","146"
"","female","2"
"","male","1"
"","unknown","16"
