"OFFENCE_CAT","OFFENCE_SUBCAT","COUNT(A.OFFENCE_SUBCAT)"
"breakingPeace","animalTheft","1"
"breakingPeace","assault","20"
"breakingPeace","burglary","2"
"breakingPeace","simpleLarceny","1"
"breakingPeace","threateningBehaviour","2"
"breakingPeace","vagabond","1"
"breakingPeace","wounding","106"
"damage","arson","15"
"damage","fraud","3"
"damage","grandLarceny","30"
"damage","other","18"
"deception","animalTheft","4689"
"deception","bigamy","1"
"deception","burglary","248"
"deception","coiningOffences","88"
"deception","embezzlement","128"
"deception","forgery","480"
"deception","fraud","724"
"deception","grandLarceny","95"
"deception","other","3"
"deception","perjury","82"
"kill","animalTheft","1667"
"kill","bigamy","4"
"kill","grandLarceny","175"
"kill","manslaughter","67"
"kill","murder","108"
"kill","other","3"
"miscellaneous","animalTheft","1078"
"miscellaneous","burglary","1060"
"miscellaneous","coiningOffences","1196"
"miscellaneous","conspiracy","21"
"miscellaneous","embezzlement","1"
"miscellaneous","grandLarceny","113"
"miscellaneous","housebreaking","1"
"miscellaneous","illegalAbortion","2"
"miscellaneous","kidnapping","118"
"miscellaneous","other","102"
"miscellaneous","pervertingJustice","32"
"miscellaneous","piracy","1"
"miscellaneous","pocketpicking","16"
"miscellaneous","receiving","2"
"miscellaneous","returnFromTransportation","30"
"royalOffences","animalTheft","278"
"royalOffences","burglary","43"
"royalOffences","coiningOffences","828"
"royalOffences","grandLarceny","3"
"royalOffences","mail","1"
"royalOffences","pocketpicking","8"
"royalOffences","seditiousLibel","1"
"royalOffences","taxOffences","9"
"royalOffences","treason","3"
"sexual","animalTheft","1534"
"sexual","bigamy","381"
"sexual","grandLarceny","7"
"sexual","other","2"
"sexual","rape","48"
"sexual","sodomy","1"
"theft","animalTheft","7652"
"theft","burglary","4453"
"theft","embezzlement","3311"
"theft","extortion","46"
"theft","gameLawOffence","5"
"theft","grandLarceny","19376"
"theft","highwayRobbery","133"
"theft","housebreaking","2572"
"theft","mail","84"
"theft","other","594"
"theft","pettyLarceny","367"
"theft","pocketpicking","8001"
"theft","receiving","1106"
"theft","robbery","93"
"theft","shoplifting","925"
"theft","simpleLarceny","4623"
"theft","stealingFromMaster","530"
"theft","theftFromPlace","3179"
"violentTheft","highwayRobbery","388"
"violentTheft","other","1"
"violentTheft","robbery","331"
