"OFFENCE_SUBCAT_ID","OFFENCE_SUBCAT"
"6EC862BAF3E241B5850F66DB0CE6D86F","theftFromPlace"
"2A1E43D530824C48B368A3CE82009C45","other"
"127F51F0672349E1957A4CFC199AD4AA","bigamy"
"A3F4893D59CC4023BE158C415B11BF17","perjury"
"8CA557DEB0044AE3806357CBEE11F937","treason"
"C363C89E86A946138DEF96F75B79FC2C","grandLarceny"
"A186D16BF9CA4C29B097B2A3F693D087","animalTheft"
"A4EAF462EE0A4EB68740C00D56AEEEFD","arson"
"D4DD362B6374408880F3CF93B0EB5328","extortion"
"38A841810B754AC7938422011E6F8E55","forgery"
"D75441E4190C4358A3E4472CA7E1DBEC","vagabond"
"F1915E580479493E9F769A029E12EFAC","illegalAbortion"
"01FECD5CAEE844A3A50B9103377D35BD","housebreaking"
"5B48886493FA448DBF21945988244609","pocketpicking"
"938A594F9D6A4EA4A59C4EE7C7C51ECF","fraud"
"B94EA772DA3D4719980859F01D65E318","gameLawOffence"
"C9BA2E28D65D4EE9B15E3586312384F7","kidnapping"
"DD11E08F45A5455A9EB0EFE534C3D6F4","wounding"
"41BA5637551842F09ADAF2E32A9F687B","threateningBehaviour"
"F01E8DE592464DC68DB619BC12B44544","shoplifting"
"F8D701362EF7471BB1AEA794B8779295","assault"
"F848C073ABB04BE49DEEFA194525D106","manslaughter"
"0859FFD719BE43038947EB09DD734DDD","taxOffences"
"8AEE7DE24A19456D829E5874AE72D689","coiningOffences"
"3EE46B94AAC1491AB97FE72F46739B58","piracy"
"A57FA69CFCD7417498259FC01664601E","robbery"
"1D061F32DF6D4711B1B4F1EDFDD188B6","burglary"
"8DE27417CA01488CADD7A2DCE8B97369","receiving"
"E315A704FDD74E0799F9FD953F731BAB","highwayRobbery"
"D5D7E46452FA471BB6CA3E15AA382B96","pervertingJustice"
"A027AACFBCEA419AB49836958E3C357E","conspiracy"
"4227E7F7BC2844D68B48726837DA677F","simpleLarceny"
"B1F4FF846C5E44698FEBDEAB54787EB9","sodomy"
"1F095FA3A0FB4ED19BDDA7BAA9E5897D","returnFromTransportation"
"3777EE7E3D2B43E287F774CE69923BFC","mail"
"31ABD8C2BCBC49208A70AF7F541FAC66","stealingFromMaster"
"E54D8394CCFA45679228CE5F68F5674D","seditiousLibel"
"CD1D4AC4EF81448C9ACAC089399C3361","embezzlement"
"78D2844370DC45C5B94BB5F353AC7FBA","pettyLarceny"
"45CA388EE5EF4683A0DBFFCAC9892ACD","murder"
"3CC8CA6F5585497EBABB018E2D4DB70E","rape"
