"PUNISH_SUBCAT_ID","PUNISH_SUBCAT"
"4FDC1700CA6A499EBFDD00AE9F39C3C8","militaryNavalDuty"
"2396346D17174706B84BBCE757A17775","branding"
"E20603AFC2B04AB580A3F18FE11E0821","newgate"
"CD3140796A7C4F89BAE529FFA29F7B2E","penalServitude"
"F5DA3018BCEF443EBE955C8C5E068163","privateWhipping"
"B4974429E81E4E1C9E1906A6364B9A71","pardon"
"966D90597EAE4283AD3C975AC4140889","respitedForPregnancy"
"6D39A1024F8B4B8EB5411C69399D4E09","hardLabour"
"B249BA3D5F284347A2F54589CDAF3346","executed"
"98C586F4BF504B46AF6E89CE9F71C387","no_subcategory"
"86C5FE4BB16748F6B75BFF8F2DA227FA","publicWhipping"
"CF0BE141A0BD48DAB61C15A4E40E1765","otherInstitution"
"12BFF036819E40B7949018A268E3666B","respited"
"DDADC53DEA1643E4BBE06619A2A54B2B","drawnAndQuartered"
"4F6C50B370304A6593A02BE2DDE223F6","whipping"
"73D8531BB99A4F3FB5F7221F610A3520","sentenceRespited"
"6A5A45D9F54B4508B8EC4D22D66A127B","fine"
"2EDEF81C80BA4DC29491E7FB6740DE05","pillory"
"3019BA8AC02F4ADA9CC5B855AE737D86","houseOfCorrection"
